reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,
20,171,67,0,85,85,39,275.8265801,276.8268461,276.8268461,276.8268461,t,1.3949728,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
22,113,57,0,86,86,92,278.8276197,279.8280303,279.8280303,279.8280303,t,2.1118652,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
45,164,32,0,87,87,34,281.4119164,282.412516,282.412516,282.412516,t,1.4857825,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
65,172,43,0,88,88,59,283.7295173,284.7300393,284.7300393,284.7300393,t,1.3368058,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
59,65,58,0,89,89,18,286.1137105,287.1142609,287.1142609,287.1142609,t,1.6483495,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
69,139,92,0,90,90,28,288.9313989,289.9318391,289.9318391,289.9318391,t,2.5568494,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
91,176,10,0,91,91,85,292.6996259,293.7001667,293.7001667,293.7001667,t,1.5531298,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
90,149,94,0,92,92,44,297.051259,298.0516952,298.0516952,298.0516952,t,1.3609287,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
82,148,83,0,93,93,88,299.4353982,300.4359526,300.4359526,300.4359526,t,1.7859714,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
34,105,16,0,94,94,72,301.9864413,302.9870337,302.9870337,302.9870337,t,2.7427248,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
81,171,74,0,95,95,58,305.0211025,306.0216196,306.0216196,306.0216196,t,1.3540423,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
15,35,13,0,96,96,1,308.4556474,309.4561774,309.4561774,309.4561774,t,2.4099746,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
64,137,27,0,97,97,82,311.8903145,312.8906809,312.8906809,312.8906809,t,2.4049991,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
61,122,46,0,98,98,76,315.3084416,316.3089085,316.3089085,316.3089085,t,1.5720043,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
58,154,77,0,99,99,45,317.9092413,318.909799,318.909799,318.909799,t,2.8086112,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
